음식점,위치(도로명),음식분류,술집,음식종류(사용 X),포장/배달전문,국물유무,URL
놀부자정육식당,서울 동작구 상도로15길 134 1층,한식,"1,2",삼겹살,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MDdfMjMx%2FMDAxNjgzNDU5ODgyNTUx.6ankAsOmK3zM31DbGY6CVF2UIN80lztJZL5PUb6bjO8g.ESAErB9_t4rr35ICC4j_q2yDT9F819kUyduqfMafyRwg.JPEG%2FIMG_6007.jpeg%3Ftype%3Dw1500_60_sharpen
김가네 숭실대점,서울 동작구 사당로 12 1층,한식,,김밥,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231017_279%2F1697539926156cg04m_JPEG%2F%25B1%25E8%25B0%25A1%25B3%25D7.jpg
한솥도시락 숭실대중문점,서울 동작구 사당로 14 1층,한식,0,도시락,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_266%2F1587179854604Je4xo_JPEG%2F-fwFnH99GTdFXiCogX6WTd1B.jpg
핵밥 숭실대점,서울 동작구 상도로67길 27 1층,일식,0,덮밥,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250204_131%2F1738638397167vUuWt_JPEG%2FD7.jpg
샐러디 숭실대점,서울 동작구 사당로 6-1 1층,샐러드,,샐러드,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210222_100%2F1613981208370LyzEM_PNG%2FL-eQOvuY0eTwuM6j0EAapOAE.png
포케올데이 숭실대점,서울 동작구 사당로 32-1 2층,샐러드,0,"포케, 샐러드",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240312_58%2F1710239783007CzQCe_JPEG%2F%25B9%25E8%25B4%25DE%25C0%25C7%25B9%25CE%25C1%25B7_2.jpg
슬로우캘리 숭실대점,서울 동작구 사당로 12-1 1층,샐러드,0,"포케, 샐러드",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240410_206%2F1712753481082G91iP_JPEG%2F%25B9%25E8%25B9%25CE1.jpg
대윤파닭,서울 동작구 상도로67길 12-5,치킨,,치킨,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MThfMTI1%2FMDAxNjk0OTk1MDY2MTQ4.9RtBLBP8VbDwgb_hiWtgfXPA5us6U4CnwDdmvbPiFvIg.Uk5l2U2LEm5jvCYenQfXKirigDGCRazMW9TUBERbFCEg.JPEG.mipa777%2F1694995050816.jpg
고씨네 숭실대점,서울 동작구 사당로 32-1 1층 101호,한식,0,카레,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241018_267%2F1729224162872ao2s2_JPEG%2FIMG_4609.JPG
베트남식당퍼민,서울 동작구 사당로 36 1층,아시안,0,쌀국수,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230914_168%2F1694618259941XAhgO_JPEG%2FIMG_7748.jpeg
